98;98;06/01/2021;01010905102549; ;;Peralihan Hak - Jual Beli;01010905.02681;;;175/2021;Berkas No.367/2021 Selesai Diserahkan
99;99;06/01/2021;01010601102164; ;;Roya;01010601.02167;;;173/2021;Berkas No.352/2021 Selesai Diserahkan
100;100;06/01/2021;01010808110091; ;;Peralihan Hak - Jual Beli;01010808.00171;;;174/2021;Berkas No.320/2021 Selesai Diserahkan
101;101;06/01/2021;01010503102036; ;;Roya;01010503.02149;;;168/2021;Berkas No.355/2021 Selesai Diserahkan
102;102;06/01/2021;01010401110173; ;;Peralihan Hak - Penetapan atau Putusan Pengadilan;01010401.00363;;;169/2021;Berkas No.364/2021 Selesai Diserahkan
103;103;06/01/2021;01010802110568; ;;Roya;01010802.02386;;;170/2021;Berkas No.358/2021 Selesai Diserahkan
104;104;06/01/2021;01010906102559; ;;Roya;01010906.02548;;;167/2021;Berkas No.356/2021 Selesai Diserahkan
105;105;06/01/2021;01010703102107; ;;Roya;01010703.02112;;;164/2021;Berkas No.344/2021 Selesai Diserahkan
106;106;06/01/2021;01010703100413;MIBO;Banda Raya;Sertipikat Pengganti Karena Hilang;01010703.03080;;;89/2021;Berkas No.201/2021 Selesai Diserahkan
107;107;06/01/2021;01010903102484; ;;Roya;01010903.02518;;;161/2021;Berkas No.342/2021 Selesai Diserahkan
108;108;06/01/2021;01010704102279; ;;Roya;01010704.02281;;;160/2021;Berkas No.335/2021 Selesai Diserahkan
109;109;06/01/2021;01010607102141; ;;Roya;01010607.02544;;;158/2021;Berkas No.357/2021 Selesai Diserahkan
110;110;06/01/2021;01010706102500; ;;Peralihan Hak - Jual Beli;01010706.02785;;;155/2021;Berkas No.263/2021 Selesai Diserahkan
111;111;06/01/2021;01010603102716; ;;Peralihan Hak - Hibah;01010603.03042;;;154/2021;Berkas No.269/2021 Selesai Diserahkan
112;112;06/01/2021;01010710102394; ;;Peralihan Hak - Jual Beli;01010710.02452;;;153/2021;Berkas No.267/2021 Selesai Diserahkan
113;113;06/01/2021;01010409111237; ;;Peralihan Hak - Jual Beli;01010409.04069;;;152/2021;Berkas No.140/2021 Selesai Diserahkan
114;114;06/01/2021;01010409111233; ;;Peralihan Hak - Jual Beli;01010409.03485;;;151/2021;Berkas No.262/2021 Selesai Diserahkan
115;115;06/01/2021;01010706102499; ;;Peralihan Hak - Hibah;01010706.02786;;;150/2021;Berkas No.231/2021 Selesai Diserahkan
116;116;06/01/2021;01010603102421; ;;Peralihan Hak - Jual Beli;01010603.02598;;;149/2021;Berkas No.304/2021 Selesai Diserahkan
117;117;06/01/2021;01010901102362; ;;Peralihan Hak - Jual Beli;01010901.02370;;;148/2021;Berkas No.234/2021 Selesai Diserahkan
118;118;06/01/2021;01010107100381; ;;Roya;01010107.02562;;;147/2021;Berkas No.204/2021 Selesai Diserahkan
119;119;06/01/2021;01010402302045; ;;Roya;01010402.01224;;;145/2021;Berkas No.250/2021 Selesai Diserahkan
120;120;06/01/2021;01010602102016; ;;Peralihan Hak - Hibah;01010602.02048;;;144/2021;Berkas No.226/2021 Selesai Diserahkan
121;121;06/01/2021;01010603102156; ;;Peralihan Hak - Jual Beli;01010603.02311;;;143/2021;Berkas No.324/2021 Selesai Diserahkan
122;122;06/01/2021;01010604102302; ;;Roya;01010604.02341;;;141/2021;Berkas No.195/2021 Selesai Diserahkan
123;123;06/01/2021;01010704102313; ;;Roya;01010704.02321;;;140/2021;Berkas No.200/2021 Selesai Diserahkan
124;124;06/01/2021;01010405111015; ;;Peralihan Hak - Jual Beli;01010405.03795;;;139/2021;Berkas No.117/2021 Selesai Diserahkan
125;125;06/01/2021;01010603102401; ;;Peralihan Hak - Jual Beli;01010603.02562;;;138/2021;Berkas No.237/2021 Selesai Diserahkan
126;126;06/01/2021;01010702102050; ;;Roya;01010702.02049;;;137/2021;Berkas No.260/2021 Selesai Diserahkan
127;127;06/01/2021;01010806110833; ;;Peralihan Hak - Jual Beli;01010806.02392;;;136/2021;Berkas No.205/2021 Selesai Diserahkan
128;128;06/01/2021;01010110100293; ;;Peralihan Hak - Jual Beli;01010110.02592;;;135/2021;Berkas No.289/2021 Selesai Diserahkan
129;129;06/01/2021;01010405100246; ;;Peralihan Hak - Jual Beli;01010405.02491;;;134/2021;Berkas No.116/2021 Selesai Diserahkan
130;130;06/01/2021;01010603302658; ;;Peralihan Hak - Jual Beli;01010603.02266;;;133/2021;Berkas No.317/2021 Selesai Diserahkan
131;131;06/01/2021;01010107100185; ;;Roya;01010107.02659;;;132/2021;Berkas No.225/2021 Selesai Diserahkan
